feature,FP_mean,FP_std,FN_mean,FN_std,difference,diff_pct,t_statistic,p_value,significant
char_length,94.4685,57.9765,75.75,27.846,-18.7185,-19.81,6.0543,0.0,True
word_count,17.3452,10.1784,13.6527,5.5092,-3.6926,-21.29,6.6074,0.0,True
avg_word_length,3.7972,0.6372,3.7444,0.6256,-0.0528,-1.39,1.1894,0.2346,False
sentence_count,1.8712,1.1106,1.8872,0.9024,0.0159,0.85,-0.2263,0.821,False
exclamation_count,0.1781,0.4957,0.3938,0.6691,0.2157,121.14,-5.1273,0.0,True
question_count,0.2055,0.4046,0.3473,0.5581,0.1419,69.04,-4.069,0.0001,True
ellipsis_count,0.0685,0.2529,0.0398,0.1958,-0.0287,-41.86,1.826,0.0682,False
quotes_count,0.8521,0.8452,0.7412,0.83,-0.1109,-13.02,1.8833,0.06,False
comma_count,1.0685,1.1159,0.9248,0.7843,-0.1437,-13.45,2.1568,0.0313,True
has_exclamation,0.1342,0.3414,0.2898,0.4542,0.1556,115.89,-5.4229,0.0,True
has_question,0.2055,0.4046,0.3053,0.461,0.0998,48.58,-3.2482,0.0012,True
has_ellipsis,0.0685,0.2529,0.0398,0.1958,-0.0287,-41.86,1.826,0.0682,False
punct_density,0.0948,0.0929,0.1571,0.1737,0.0624,65.8,-6.1826,0.0,True
has_negation,0.1425,0.35,0.2677,0.4433,0.1252,87.9,-4.402,0.0,True
negation_count,0.2164,0.6952,0.3119,0.59,0.0955,44.13,-2.1235,0.034,True
has_intensifier,0.0301,0.1712,0.1704,0.3764,0.1402,465.27,-6.588,0.0,True
intensifier_count,0.0301,0.1712,0.2058,0.4845,0.1756,582.72,-6.5996,0.0,True
has_sarcasm_marker,0.2521,0.4348,0.5088,0.5005,0.2568,101.88,-7.7268,0.0,True
sarcasm_marker_count,0.3753,0.7515,0.8142,0.9135,0.4388,116.91,-7.3793,0.0,True
type_token_ratio,0.9219,0.0965,0.9362,0.0957,0.0142,1.54,-2.1072,0.0354,True
all_caps_count,0.0521,0.2224,0.0531,0.2245,0.001,2.0,-0.0663,0.9472,False
positive_word_count,0.274,0.5309,0.3739,0.4844,0.0999,36.47,-2.8079,0.0051,True
negative_word_count,0.0575,0.2861,0.0354,0.185,-0.0221,-38.47,1.3353,0.1821,False
sentiment_polarity,0.189,0.4916,0.3385,0.5269,0.1495,79.06,-4.1527,0.0,True
sentiment_strength,0.0241,0.0412,0.0339,0.0535,0.0098,40.78,-2.8877,0.004,True
starts_with_interjection,0.1753,0.3808,0.3606,0.4807,0.1853,105.67,-5.9987,0.0,True
has_rhetorical_pattern,0.0548,0.2279,0.0642,0.2453,0.0094,17.09,-0.5599,0.5757,False
has_contrast,0.1151,0.3195,0.0575,0.2331,-0.0575,-50.01,2.9728,0.003,True
